DateTime;Temperature;SunshineDuration;ShortwaveRadiation;RelativeHumidity;MeanSeaLevelPressure;SoilTemperature;SoilMoisture;WindSpeed;WindDirection
1.01.2008 03:00;-0.1;0;0.00;92;1019.2;5.9;0.212;0.0;180.00
1.01.2008 04:00;2.5;0;0.00;92;1018.2;5.4;0.212;22.7;43.07
1.01.2008 05:00;2.9;0;0.00;95;1017.1;5.1;0.212;25.8;54.09
1.01.2008 06:00;3.9;0;0.00;95;1017.4;4.9;0.212;25.8;59.86
1.01.2008 07:00;4.9;0;0.00;93;1016.4;5.1;0.211;26.7;61.02
1.01.2008 08:00;5.0;0;0.00;87;1016.3;5.2;0.211;25.8;63.43
1.01.2008 09:00;5.2;0;4.45;85;1015.9;5.2;0.211;24.8;64.18
1.01.2008 10:00;6.4;0;104.13;78;1015.7;5.7;0.211;25.6;64.16
1.01.2008 11:00;7.6;2;254.54;71;1015.6;6.6;0.211;26.9;63.78
1.01.2008 12:00;8.5;0;334.64;66;1015.0;7.8;0.211;26.4;64.13
1.01.2008 13:00;9.2;0;372.91;64;1015.1;8.9;0.211;26.6;61.70
1.01.2008 14:00;9.5;0;384.48;62;1014.2;9.9;0.211;27.7;60.44
1.01.2008 15:00;9.1;0;273.23;62;1013.6;10.3;0.210;27.8;58.78
1.01.2008 16:00;9.1;0;178.89;59;1014.0;10.3;0.210;27.1;59.69
1.01.2008 17:00;8.6;0;104.13;58;1013.2;10.1;0.209;24.3;60.78
1.01.2008 18:00;7.9;0;23.14;57;1013.0;9.7;0.209;26.3;59.57
1.01.2008 19:00;7.6;0;0.00;56;1013.4;9.2;0.209;27.7;65.43
1.01.2008 20:00;7.2;0;0.00;58;1012.5;8.7;0.209;24.4;68.36
1.01.2008 21:00;7.1;0;0.00;62;1012.5;8.4;0.210;21.7;68.55
1.01.2008 22:00;7.1;0;0.00;62;1012.7;8.1;0.210;21.6;66.43
1.01.2008 23:00;6.7;0;0.00;67;1012.2;7.8;0.213;13.9;73.44
2.01.2008 00:00;6.1;0;0.00;79;1012.6;7.5;0.220;13.5;64.80
2.01.2008 01:00;5.8;0;0.00;87;1012.9;7.3;0.230;13.8;70.14
2.01.2008 02:00;6.0;0;0.00;93;1012.7;7.1;0.246;12.2;61.93
2.01.2008 03:00;6.2;0;0.00;95;1012.8;6.9;0.262;13.4;53.75
2.01.2008 04:00;6.2;0;0.00;95;1012.5;6.9;0.275;13.3;57.17
